task_id,sample_idx,code_pos,layer_idx,phase,token,entropy,kl_to_final,top1_id,matches_final,in_top5_final
HumanEval/0,0,0,0,body,from,5.7768683433532715,18.16519546508789,66887,0,0
HumanEval/0,0,1,0,body, typing,5.518704414367676,21.937631607055664,134494,0,0
HumanEval/0,0,2,0,body, import,6.933719635009766,20.584884643554688,77182,0,0
HumanEval/0,0,3,0,body, List,7.939828872680664,18.141260147094727,98110,0,0
HumanEval/0,0,4,0,operator,"


",7.657304763793945,16.093263626098633,82048,0,0
HumanEval/0,0,5,0,signature,def,5.277895450592041,21.911991119384766,119792,0,0
HumanEval/0,0,6,0,signature, has,6.703700542449951,20.706178665161133,89780,0,0
HumanEval/0,0,7,0,signature,_close,6.514693260192871,21.101346969604492,68278,0,0
HumanEval/0,0,8,0,signature,_elements,6.6556396484375,20.92833137512207,125478,0,0
HumanEval/0,0,9,0,signature,(numbers,7.8356242179870605,19.747581481933594,119569,0,0
HumanEval/0,0,10,0,signature,:,4.275815963745117,23.272432327270508,51720,0,0
HumanEval/0,0,11,0,signature, List,5.77385950088501,21.84805679321289,87944,0,0
HumanEval/0,0,12,0,signature,[float,7.58565616607666,20.027503967285156,12552,0,0
HumanEval/0,0,13,0,signature,"],",7.570502281188965,19.960901260375977,76419,0,0
HumanEval/0,0,14,0,signature, threshold,6.048793315887451,21.516748428344727,77393,0,0
HumanEval/0,0,15,0,signature,:,4.862582206726074,22.623512268066406,47523,0,0
HumanEval/0,0,16,0,signature, float,5.43080472946167,22.19710350036621,68798,0,0
HumanEval/0,0,17,0,signature,),5.43764066696167,22.126447677612305,76419,0,0
HumanEval/0,0,18,0,signature, ->,1.6785857677459717,25.950847625732422,49576,0,0
HumanEval/0,0,19,0,signature, bool,7.522625923156738,20.099132537841797,54889,0,0
HumanEval/0,0,20,0,signature,":
",7.164310932159424,20.163650512695312,74589,0,0
HumanEval/0,0,21,0,signature,   ,4.925899028778076,20.438518524169922,94959,0,0
HumanEval/0,0,22,0,signature, for,3.581305503845215,21.05483055114746,136336,0,0
HumanEval/0,0,23,0,body, i,6.572558403015137,20.417707443237305,82037,0,0
HumanEval/0,0,24,0,body, in,2.911811351776123,24.399099349975586,49576,0,0
HumanEval/0,0,25,0,body, range,4.249058723449707,23.368017196655273,75311,0,0
HumanEval/0,0,26,0,body,(len,6.663858890533447,20.771120071411133,30935,0,0
HumanEval/0,0,27,0,body,(numbers,5.806397438049316,21.82215690612793,76759,0,0
HumanEval/0,0,28,0,body,")):
",4.194018363952637,23.253461837768555,143197,0,0
HumanEval/0,0,29,0,body,       ,6.789623737335205,20.79871940612793,141990,0,0
HumanEval/0,0,30,0,body, for,4.494270324707031,23.042558670043945,136336,0,0
HumanEval/0,0,31,0,body, j,6.6791486740112305,20.939010620117188,144691,0,0
HumanEval/0,0,32,0,body, in,5.926033020019531,21.393333435058594,92362,0,0
HumanEval/0,0,33,0,body, range,4.1817946434021,23.439382553100586,75311,0,0
HumanEval/0,0,34,0,body,(i,6.748600959777832,20.5975399017334,30935,0,0
HumanEval/0,0,35,0,body, +,2.583503246307373,24.780460357666016,49576,0,0
HumanEval/0,0,36,0,body, ,4.093407154083252,23.511611938476562,77393,0,0
HumanEval/0,0,37,0,body,1,3.0481629371643066,24.576427459716797,81619,0,0
HumanEval/0,0,38,0,body,",",5.717472076416016,21.874845504760742,49576,0,0
HumanEval/0,0,39,0,body, len,0.8368780612945557,26.793397903442383,136336,0,0
HumanEval/0,0,40,0,body,(numbers,4.451431751251221,23.179275512695312,94389,0,0
HumanEval/0,0,41,0,body,")):
",4.523762226104736,23.10055160522461,143197,0,0
HumanEval/0,0,42,0,body,           ,6.480237007141113,21.108966827392578,141990,0,0
HumanEval/0,0,43,0,body, if,2.101126194000244,25.513019561767578,94389,0,0
HumanEval/0,0,44,0,body, abs,3.4961395263671875,24.105876922607422,49576,0,0
HumanEval/0,0,45,0,body,(numbers,3.883297920227051,23.556480407714844,141910,0,0
HumanEval/0,0,46,0,body,[i,4.842633247375488,22.679546356201172,75979,0,0
HumanEval/0,0,47,0,body,],6.927447319030762,20.685317993164062,49576,0,0
HumanEval/0,0,48,0,body, -,4.515617847442627,23.107196807861328,77393,0,0
HumanEval/0,0,49,0,body, numbers,5.306038856506348,22.320663452148438,62156,0,0
HumanEval/0,0,50,0,body,[j,4.942648410797119,22.67837142944336,26838,0,0
HumanEval/0,0,51,0,body,]),6.816191673278809,20.803836822509766,27384,0,0
HumanEval/0,0,52,0,body, <,3.8133187294006348,23.810413360595703,136336,0,0
HumanEval/0,0,53,0,body, threshold,6.456038475036621,21.172691345214844,77393,0,0
HumanEval/0,0,54,0,body,":
",5.898514747619629,21.64235496520996,76394,0,0
HumanEval/0,0,55,0,body,               ,5.391507625579834,22.21095085144043,94959,0,0
HumanEval/0,0,56,0,body, return,2.9725468158721924,24.649845123291016,49576,0,0
HumanEval/0,0,57,0,body, True,4.930416584014893,22.697473526000977,49576,0,0
HumanEval/0,0,58,0,operator,"
",5.556238651275635,21.65804672241211,134494,0,0
HumanEval/0,0,59,0,operator,   ,2.658846616744995,24.937091827392578,75311,0,0
HumanEval/0,0,60,0,operator, return,3.142904043197632,24.485319137573242,136336,0,0
HumanEval/0,0,61,0,body, False,4.5528459548950195,22.988161087036133,76887,0,0
HumanEval/0,0,62,0,operator,"
",2.8005361557006836,18.078054428100586,72759,0,0
HumanEval/0,0,0,1,body,from,4.796245574951172,19.202306747436523,96308,0,0
HumanEval/0,0,1,1,body, typing,5.2871809005737305,22.186283111572266,13466,0,0
HumanEval/0,0,2,1,body, import,7.571958541870117,19.9477481842041,48517,0,0
HumanEval/0,0,3,1,body, List,7.998070240020752,18.062755584716797,61065,0,0
HumanEval/0,0,4,1,operator,"


",8.44437313079834,15.472103118896484,10220,0,0
HumanEval/0,0,5,1,signature,def,5.944889068603516,21.134044647216797,126203,0,0
HumanEval/0,0,6,1,signature, has,6.537623882293701,20.86831283569336,96308,0,0
HumanEval/0,0,7,1,signature,_close,5.8727850914001465,21.74835968017578,49576,0,0
HumanEval/0,0,8,1,signature,_elements,5.0035719871521,22.578264236450195,125478,0,0
HumanEval/0,0,9,1,signature,(numbers,8.364679336547852,19.22806167602539,85433,0,0
HumanEval/0,0,10,1,signature,:,4.74885892868042,22.811527252197266,51720,0,0
HumanEval/0,0,11,1,signature, List,4.993170261383057,22.62216567993164,128198,0,0
HumanEval/0,0,12,1,signature,[float,8.010506629943848,19.6121768951416,64125,0,0
HumanEval/0,0,13,1,signature,"],",6.8626708984375,20.676589965820312,76419,0,0
HumanEval/0,0,14,1,signature, threshold,5.521524906158447,22.06198501586914,77393,0,0
HumanEval/0,0,15,1,signature,:,6.624130725860596,20.896595001220703,95085,0,0
HumanEval/0,0,16,1,signature, float,5.722550392150879,21.904420852661133,128198,0,0
HumanEval/0,0,17,1,signature,),6.942084312438965,20.59942626953125,76419,0,0
HumanEval/0,0,18,1,signature, ->,2.924839735031128,24.703493118286133,49576,0,0
HumanEval/0,0,19,1,signature, bool,7.240235328674316,20.38406753540039,97028,0,0
HumanEval/0,0,20,1,signature,":
",7.799071311950684,19.535804748535156,88134,0,0
HumanEval/0,0,21,1,signature,   ,3.996561050415039,21.49654197692871,94959,0,0
HumanEval/0,0,22,1,signature, for,4.475488662719727,20.714750289916992,90037,0,0
HumanEval/0,0,23,1,body, i,5.907415390014648,21.31224250793457,72183,0,0
HumanEval/0,0,24,1,body, in,2.8247272968292236,24.56007194519043,49576,0,0
HumanEval/0,0,25,1,body, range,5.512672424316406,22.111421585083008,89444,0,0
HumanEval/0,0,26,1,body,(len,5.4756364822387695,21.87730598449707,62418,0,0
HumanEval/0,0,27,1,body,(numbers,6.059787750244141,21.562788009643555,89495,0,0
HumanEval/0,0,28,1,body,")):
",4.6505937576293945,22.833120346069336,143197,0,0
HumanEval/0,0,29,1,body,       ,6.713678359985352,20.87660789489746,91838,0,0
HumanEval/0,0,30,1,body, for,4.708528518676758,22.83507537841797,90037,0,0
HumanEval/0,0,31,1,body, j,6.24250602722168,21.37859344482422,96308,0,0
HumanEval/0,0,32,1,body, in,4.642096042633057,22.921218872070312,49576,0,0
HumanEval/0,0,33,1,body, range,5.71427583694458,21.91083526611328,72183,0,0
HumanEval/0,0,34,1,body,(i,5.480833530426025,21.775245666503906,83996,0,0
HumanEval/0,0,35,1,body, +,4.10768461227417,23.15434455871582,136336,0,0
HumanEval/0,0,36,1,body, ,3.635986804962158,23.97233772277832,77393,0,0
HumanEval/0,0,37,1,body,1,3.144871234893799,24.463573455810547,96308,0,0
HumanEval/0,0,38,1,body,",",5.416195392608643,22.185546875,96308,0,0
HumanEval/0,0,39,1,body, len,1.6191900968551636,26.011302947998047,136336,0,0
HumanEval/0,0,40,1,body,(numbers,6.703920364379883,20.925792694091797,94389,0,0
HumanEval/0,0,41,1,body,")):
",4.8656206130981445,22.760042190551758,143197,0,0
HumanEval/0,0,42,1,body,           ,6.619887351989746,20.959062576293945,89188,0,0
HumanEval/0,0,43,1,body, if,3.243948221206665,24.363502502441406,49576,0,0
HumanEval/0,0,44,1,body, abs,4.783934116363525,22.80565071105957,28038,0,0
HumanEval/0,0,45,1,body,(numbers,3.5445916652679443,24.025543212890625,89349,0,0
HumanEval/0,0,46,1,body,[i,4.3299560546875,23.216480255126953,75710,0,0
HumanEval/0,0,47,1,body,],7.293083190917969,20.316892623901367,97636,0,0
HumanEval/0,0,48,1,body, -,4.054641246795654,23.570898056030273,145896,0,0
HumanEval/0,0,49,1,body, numbers,5.902377128601074,21.724943161010742,62156,0,0
HumanEval/0,0,50,1,body,[j,5.9753923416137695,21.646686553955078,131275,0,0
HumanEval/0,0,51,1,body,]),7.64753532409668,19.973037719726562,92362,0,0
HumanEval/0,0,52,1,body, <,3.391214609146118,24.228267669677734,136336,0,0
HumanEval/0,0,53,1,body, threshold,5.937217712402344,21.690948486328125,77393,0,0
HumanEval/0,0,54,1,body,":
",6.417675971984863,21.136547088623047,79704,0,0
HumanEval/0,0,55,1,body,               ,5.882846355438232,21.700899124145508,34150,0,0
HumanEval/0,0,56,1,body, return,2.588418960571289,25.034509658813477,81619,0,0
HumanEval/0,0,57,1,body, True,5.92753791809082,21.699462890625,34150,0,0
HumanEval/0,0,58,1,operator,"
",6.358701229095459,20.753490447998047,134494,0,0
HumanEval/0,0,59,1,operator,   ,3.629422187805176,23.950138092041016,75311,0,0
HumanEval/0,0,60,1,operator, return,4.27998161315918,23.346717834472656,136336,0,0
HumanEval/0,0,61,1,body, False,5.145637035369873,22.40090560913086,141990,0,0
HumanEval/0,0,62,1,operator,"
",3.5207266807556152,17.175823211669922,72759,0,0
HumanEval/0,0,0,2,body,from,5.086566925048828,18.68398094177246,75311,0,0
HumanEval/0,0,1,2,body, typing,6.58749532699585,20.767831802368164,13466,0,0
HumanEval/0,0,2,2,body, import,7.1422271728515625,20.406221389770508,61194,0,0
HumanEval/0,0,3,2,body, List,7.878781795501709,18.174528121948242,61065,0,0
HumanEval/0,0,4,2,operator,"


",7.912837028503418,16.088388442993164,41814,0,0
HumanEval/0,0,5,2,signature,def,5.374722957611084,21.50244140625,126203,0,0
